,Unnamed: 0,Unnamed: 0.1,Name,mz,rt_start,rt_end,Charge,Product mz,CE,Normalized Intensity,Ion type
224,224,51,Compound 52,169.0357056,5.206352125,5.376749786,1,69.01,36.9889257448876,42397.09679442407,Qual 4
225,225,555,Compound 556,148.0427246,4.48699469,4.878614888,1,58.07,20.103474631611622,63203.050524194616,Quant
226,226,555,Compound 556,148.0427246,4.48699469,4.878614888,1,74.01,20.103474631611622,38389.247054996784,Qual 1
227,227,555,Compound 556,148.0427246,4.48699469,4.878614888,1,103.04,13.9814843260717,34595.48018784723,Qual 2
228,228,555,Compound 556,148.0427246,4.48699469,4.878614888,1,102.09,13.9814843260717,21732.07466844625,Qual 3
229,229,555,Compound 556,148.0427246,4.48699469,4.878614888,1,57.03,20.103474631611622,14030.505190896332,Qual 4
230,230,53,Compound 54,274.91024780000004,13.09364134,13.64014574,1,128.95,19.407280878235408,2046570.902061215,Quant
231,231,53,Compound 54,274.91024780000004,13.09364134,13.64014574,1,234.92,15.325954007875461,242212.0924015385,Qual 1
232,232,53,Compound 54,274.91024780000004,13.09364134,13.64014574,1,62.98,35.732588359675205,216492.8933032659,Qual 2
233,233,53,Compound 54,274.91024780000004,13.09364134,13.64014574,1,61.97,39.81391523003515,44946.82922358498,Qual 3
234,234,53,Compound 54,274.91024780000004,13.09364134,13.64014574,1,128.96,23.48860774859536,22832.92483652304,Qual 4
235,235,557,Compound 558,147.11293030000004,9.569354106,10.01519361,1,64.93,28.24131920606482,49429.87760810809,Quant
236,236,557,Compound 558,147.11293030000004,9.569354106,10.01519361,1,123.96,11.91601172462503,36165.614670870506,Qual 1
237,237,557,Compound 558,147.11293030000004,9.569354106,10.01519361,1,86.06,15.99733859498498,20474.725200920402,Qual 2
238,238,557,Compound 558,147.11293030000004,9.569354106,10.01519361,1,105.95,11.91601172462503,9151.265513633654,Qual 3
239,239,557,Compound 558,147.11293030000004,9.569354106,10.01519361,1,73.04,24.15999233570487,3647.781533926829,Qual 4
240,240,561,Compound 562,439.1649475,2.058825331,2.303667913,1,231.08,15.627340770997154,22209.67673812785,Quant
241,241,561,Compound 562,439.1649475,2.058825331,2.303667913,1,173.46,19.708667641357106,11402.1782707551,Qual 1
242,242,561,Compound 562,439.1649475,2.058825331,2.303667913,1,173.48,15.627340770997154,9347.362916540429,Qual 2
243,243,561,Compound 562,439.1649475,2.058825331,2.303667913,1,173.47,40.11530199315684,8509.62182514833,Qual 3
