,Unnamed: 0,Name,mz,rt_start,rt_end,Charge,Product mz,CE,Normalized Intensity
2932,870,Compound 823,188.9393311,0.503807019,0.682815726,-1,173.49,19.154031814155523,1435.9668573372874
2933,871,Compound 824,165.0406189,5.432608178,5.816889102,-1,75.01,14.435029358421783,30157.125967001964
2934,871,Compound 824,165.0406189,5.432608178,5.816889102,-1,59.01,18.51635622878173,5943.266810098922
2935,871,Compound 824,165.0406189,5.432608178,5.816889102,-1,129.02,8.31303905288186,5365.15117781233
2936,871,Compound 824,165.0406189,5.432608178,5.816889102,-1,99.01,12.394365923241809,4826.848185674651
2937,871,Compound 824,165.0406189,5.432608178,5.816889102,-1,75.0,14.435029358421783,2501.51907784615
2938,872,Compound 825,72.96972656,13.36051513,14.03991148,-1,55.94,16.059681589685614,1579.309970442427
2939,872,Compound 825,72.96972656,13.36051513,14.03991148,-1,53.8,11.978354719325667,1532.329567249131
2940,872,Compound 825,72.96972656,13.36051513,14.03991148,-1,56.28,11.978354719325667,1282.615704217193
2941,872,Compound 825,72.96972656,13.36051513,14.03991148,-1,55.29,18.100345024865586,1111.7248187400055
2942,872,Compound 825,72.96972656,13.36051513,14.03991148,-1,58.52,18.100345024865586,1037.6379801179755
2943,874,Compound 9,130.0621338,6.188740806,6.491012262999999,-1,88.04,7.379728262954402,13837.009419982754
2944,874,Compound 9,130.0621338,6.188740806,6.491012262999999,-1,98.37,19.623708874034246,1227.4563855667284
2945,874,Compound 9,130.0621338,6.188740806,6.491012262999999,-1,96.54,35.949016355474036,1154.0378041501954
2946,874,Compound 9,130.0621338,6.188740806,6.491012262999999,-1,74.02,11.461055133314352,1129.7971652753122
2947,874,Compound 9,130.0621338,6.188740806,6.491012262999999,-1,68.15,35.949016355474036,1071.0536460407839
2948,875,Compound 827,111.0087738,8.645325927,9.039492671,-1,67.02,10.95266529248696,4567.711114060715
2949,875,Compound 827,111.0087738,8.645325927,9.039492671,-1,71.41,35.440626514646645,1052.6313491665085
2950,875,Compound 827,111.0087738,8.645325927,9.039492671,-1,70.72,31.3592996442867,928.160806490961
2951,875,Compound 827,111.0087738,8.645325927,9.039492671,-1,70.38,19.115319033206855,867.7176248060633
2952,875,Compound 827,111.0087738,8.645325927,9.039492671,-1,97.1,35.440626514646645,831.0807586637053
2953,876,Compound 828,207.0145874,7.491034933,7.869814676,-1,173.48,15.5549966064352,8369.001263847596
2954,876,Compound 828,207.0145874,7.491034933,7.869814676,-1,173.49,21.67698691197512,7883.338180021274
2955,876,Compound 828,207.0145874,7.491034933,7.869814676,-1,173.47,29.839640652695017,2365.893543217453
2956,876,Compound 828,207.0145874,7.491034933,7.869814676,-1,135.03,9.433006300895277,1838.1979526341195
2957,876,Compound 828,207.0145874,7.491034933,7.869814676,-1,115.83,19.636323476795145,1192.6688136313758
2958,877,Compound 829,303.1247559,5.924790469,6.154548859,-1,123.06,11.99745862141033,14735.38524783372
2959,877,Compound 829,303.1247559,5.924790469,6.154548859,-1,173.48,16.078785491770276,11318.92441180055
2960,877,Compound 829,303.1247559,5.924790469,6.154548859,-1,173.49,18.11944892695025,9942.319530710382
2961,877,Compound 829,303.1247559,5.924790469,6.154548859,-1,77.03,28.32276610285012,8014.321485055043
2962,877,Compound 829,303.1247559,5.924790469,6.154548859,-1,123.02,16.078785491770276,2701.218959232648
2963,878,Compound 830,255.0874786,4.5953634260000005,4.906977843,-1,211.1,14.797034464112782,46604.5813338308
2964,878,Compound 830,255.0874786,4.5953634260000005,4.906977843,-1,173.48,22.959688204832677,7779.9871582360465
2965,878,Compound 830,255.0874786,4.5953634260000005,4.906977843,-1,167.11,14.797034464112782,7504.706859196108
2966,878,Compound 830,255.0874786,4.5953634260000005,4.906977843,-1,173.49,14.797034464112782,6901.909628584407
2967,878,Compound 830,255.0874786,4.5953634260000005,4.906977843,-1,175.02,16.837697899292753,4096.076443139364
2968,880,Compound 832,254.98185730000003,9.917987161000001,10.36242861,-1,175.02,14.794216231743532,54233.68572675394
2969,880,Compound 832,254.98185730000003,9.917987161000001,10.36242861,-1,115.0,20.916206537283454,26970.98289987825
2970,880,Compound 832,254.98185730000003,9.917987161000001,10.36242861,-1,87.01,31.119523713183323,20343.15901676632
2971,880,Compound 832,254.98185730000003,9.917987161000001,10.36242861,-1,173.48,22.956869972463426,9821.69370537335
2972,880,Compound 832,254.98185730000003,9.917987161000001,10.36242861,-1,173.49,10.712889361383583,7142.743866708468
2973,882,Compound 834,226.9964905,4.029343686,4.624162749,-1,99.01,14.0474987932997,20091.562154721174
2974,882,Compound 834,226.9964905,4.029343686,4.624162749,-1,112.99,18.128825663659647,17297.572965135078
2975,882,Compound 834,226.9964905,4.029343686,4.624162749,-1,173.01,9.966171922939752,11323.964385921036
2976,882,Compound 834,226.9964905,4.029343686,4.624162749,-1,173.49,14.0474987932997,10692.490675033927
2977,882,Compound 834,226.9964905,4.029343686,4.624162749,-1,173.48,30.372806274739492,9932.775618966842
2978,883,Compound 835,245.9555054,6.263040778,6.692010822,-1,201.97,14.553371278113671,44616.27222565892
2979,883,Compound 835,245.9555054,6.263040778,6.692010822,-1,111.97,20.675361583653594,12076.660203208927
2980,883,Compound 835,245.9555054,6.263040778,6.692010822,-1,83.94,26.797351889193514,11578.85989743212
2981,883,Compound 835,245.9555054,6.263040778,6.692010822,-1,141.99,16.594034713293645,4874.647485221707
2982,883,Compound 835,245.9555054,6.263040778,6.692010822,-1,109.95,22.716025018833566,4723.330559110745
2983,885,Compound 837,131.0461273,6.490050159,6.775657337,-1,113.04,7.405983595286347,10975.062818879256
2984,885,Compound 837,131.0461273,6.490050159,6.775657337,-1,114.02,7.405983595286347,8972.858403528346
2985,885,Compound 837,131.0461273,6.490050159,6.775657337,-1,70.03,13.52797390082627,4572.803762846334
2986,885,Compound 837,131.0461273,6.490050159,6.775657337,-1,72.01,13.52797390082627,2024.0357623106925
2987,885,Compound 837,131.0461273,6.490050159,6.775657337,-1,95.02,11.487310465646296,1819.4026427803374
2988,886,Compound 838,556.3255005,0.905631282,1.152175344,-1,409.24,18.753468387906665,249044.2375305484
2989,886,Compound 838,556.3255005,0.905631282,1.152175344,-1,255.23,30.99744899898651,115702.38353133322
2990,886,Compound 838,556.3255005,0.905631282,1.152175344,-1,78.96,47.3227564804263,86155.03127644265
